timestamp	speaker	message
2025-12-22 20:21:55	operator	Hello, thank you for calling the emergency services. What is your name?
2025-12-22 20:22:34	caller	Hello my name is Simone
2025-12-22 20:22:34	operator	Thank you, Simone. What is the address of the emergency?
2025-12-22 20:23:07	caller	It's at the train station Messkirch
2025-12-22 20:23:07	operator	Thank you. Can you please describe what happened?
2025-12-22 20:23:30	caller	I found a man lying on the platform
2025-12-22 20:23:30	operator	Is the man conscious?
2025-12-22 20:23:56	caller	Yes, but his face is blue
2025-12-22 20:23:56	operator	Is he breathing?
2025-12-22 20:24:09	caller	Yes he is breathing
2025-12-22 20:24:09	operator	Is he breathing normally or with difficulty?
2025-12-22 20:24:33	caller	He is breathing without difficulty
2025-12-22 20:24:33	operator	Is there any bleeding or obvious injury?
2025-12-22 20:25:05	caller	His face looks blue-ish
2025-12-22 20:25:05	operator	Is there any other information you can provide about his condition?
2025-12-22 20:25:24	caller	Unfortunatelly not
2025-12-22 20:25:24	operator	The emergency call has been processed. Thank you.
