timestamp	speaker	message
2025-12-24 12:15:39	operator	Hello! You're speaking with the emergency call services.
2025-12-24 12:15:46	operator	With whom am I speaking, please?
2025-12-24 12:15:46	caller	hi iam man ager
2025-12-24 12:15:58	operator	Where exactly is the emergency location?
2025-12-24 12:15:58	caller	at home in wernerstreet 6 munich
2025-12-24 12:16:19	operator	What has just happened acutely?
2025-12-24 12:16:19	caller	i just found my father lying on the floor. earlier i had some noise 
2025-12-24 12:16:40	operator	Is the patient getting enough air now?
2025-12-24 12:16:40	caller	no he is really old
2025-12-24 12:17:00	operator	Can you describe the situation with more detail?
2025-12-24 12:17:00	caller	my old 90 years old father is lying on the floor
2025-12-24 12:17:08	operator	A Vehicle is on it's way to you. Please stand by.
2025-12-24 12:17:09	operator	The emergency call has been processed. Thank you.
