timestamp	speaker	message
2026-01-10 20:58:55	operator	Hello! You're speaking with the emergency call services.
2026-01-10 20:59:09	operator	With whom am I speaking, please?
2026-01-10 20:59:09	caller	Hello this is Anna
2026-01-10 20:59:39	operator	Where exactly is the emergency location?
2026-01-10 20:59:39	caller	Im at home!
2026-01-10 20:59:57	operator	What has just happened acutely?
2026-01-10 20:59:57	caller	nothing happened to me, but my wife is acting weird
2026-01-10 21:01:23	operator	Is the patient getting enough air now?
2026-01-10 21:01:23	caller	yes she can breathe fine
2026-01-10 21:02:09	operator	Is the patient reacting normally now when spoken to?
2026-01-10 21:02:09	caller	no, she is slurring her words and sounds weird
2026-01-10 21:06:30	operator	Can you describe the situation with more detail?
2026-01-10 21:06:30	caller	about three quaters of an hour ago my wife started speaking weirdly and now she cant use her left side of the body
2026-01-10 21:06:38	operator	A Vehicle is on it's way to you. Please stand by.
2026-01-10 21:06:39	operator	The emergency call has been processed. Thank you.
