timestamp	speaker	message
2026-01-07 10:25:02	operator	Hello, this is an emergency call center. What is your name?
2026-01-07 10:25:42	caller	My name is Max. I just witnessed a car accident!
2026-01-07 10:25:42	operator	Thank you, Max. Can you please tell me the exact location of the car accident?
2026-01-07 10:26:35	caller	I saw it from my window. It happend at the intersection between example street and test street.
2026-01-07 10:26:35	operator	Thank you. Can you describe what happened?
2026-01-07 10:27:19	caller	One of them must have run a red light and hit the other car in the side.
2026-01-07 10:27:19	operator	Is anyone hurt?
2026-01-07 10:27:53	caller	I don't know, one of the doors seems to be open, but no one is coming out!
2026-01-07 10:27:53	operator	Can you see anyone in the cars?
2026-01-07 10:28:12	caller	No, i can't see much.
2026-01-07 10:28:12	operator	Can you see any movement or hear anything from the cars?
2026-01-07 10:29:38	caller	No, i'm too far away and there are other people blocking the view.
2026-01-07 10:29:39	operator	The emergency call has been processed. Thank you.
