timestamp	speaker	message
2025-12-22 18:43:18	operator	Hello! You're speaking with the emergency call services.
2025-12-22 18:43:34	operator	With whom am I speaking, please?
2025-12-22 18:43:34	caller	Hi my name is Simone
2025-12-22 18:43:49	operator	Where exactly is the emergency location?
2025-12-22 18:43:49	caller	I don't now exactly
2025-12-22 18:44:13	operator	Okay Simone. Can you tell me the nearest cross street or any landmarks you see?
2025-12-22 18:44:13	caller	It's somewhere in the forest
2025-12-22 18:45:01	operator	What has just happened acutely?
2025-12-22 18:45:01	caller	My roommate has called me. She has follen of her horse. 
2025-12-22 18:45:46	operator	Can you describe the situation with more detail?
2025-12-22 18:45:46	caller	She cannot walk and she doesn't know exactly where she is
2025-12-22 18:45:54	operator	A Vehicle is on it's way to you. Please stand by.
2025-12-22 18:45:55	operator	The emergency call has been processed. Thank you.
