2025-12-27 12:31:38.314	INFO    	[logger.py:setup_session_logger:188] Log Path: logs/FLAIRS39/b69b702b5e8c4a5f96c7463208523c00/344caf0054114ff497d813742930841d
2025-12-27 12:31:38.314	WARNING 	[core.py:init_session:158] Session initialized: 344caf00-5411-4ff4-97d8-13742930841d, b69b702b-5e8c-4a5f-96c7-463208523c00, agent
2025-12-27 12:31:41.991	INFO    	[core.py:invoke_agent:316] agent_history_len=0 usage=RunUsage(input_tokens=2535, output_tokens=65, details={'thoughts_tokens': 34, 'text_prompt_tokens': 2535}, requests=1)
2025-12-27 12:31:41.991	INFO    	[core.py:invoke_agent:321] provider=google-gla model=gemini-2.5-flash
2025-12-27 12:31:41.992	DEBUG   	[agent.py:update_history_and_merge_state:160] Completion check: False, enough_info: False, no outcomes: False, rd2: None
2025-12-27 12:31:41.992	DEBUG   	[core.py:invoke_agent:354] Hello, thank you for calling the emergency services. What is your name?
2025-12-27 12:31:41.993	DEBUG   	[app.py:stream_policy_messages:135] Streaming message: Hello, thank you for calling the emergency services. What is your name?
2025-12-27 12:32:01.821	INFO    	[app.py:stream_policy_messages:113] User message: hi
2025-12-27 12:32:02.674	INFO    	[core.py:invoke_agent:316] agent_history_len=3 usage=RunUsage(input_tokens=2587, output_tokens=21, details={'text_prompt_tokens': 2587}, requests=1)
2025-12-27 12:32:02.675	INFO    	[core.py:invoke_agent:321] provider=google-gla model=gemini-2.5-flash
2025-12-27 12:32:02.675	DEBUG   	[agent.py:update_history_and_merge_state:160] Completion check: False, enough_info: False, no outcomes: False, rd2: None
2025-12-27 12:32:02.676	DEBUG   	[core.py:invoke_agent:354] What is your name?
2025-12-27 12:32:02.676	DEBUG   	[app.py:stream_policy_messages:135] Streaming message: What is your name?
