timestamp	speaker	message
2026-01-07 10:11:32	operator	Hello, thank you for calling the emergency services. What is your name?
2026-01-07 10:13:01	caller	My name is Max. I'm calling because i think my wife is having a medical issue.
2026-01-07 10:13:01	operator	Okay Max, what is the emergency location?
2026-01-07 10:14:21	caller	I'm at home right now. My address is example street 1, 12345 example city.
2026-01-07 10:14:21	operator	Can you describe what is happening with your wife?
2026-01-07 10:15:17	caller	She is behaving strangely. It's difficult to understand what she is saying.
2026-01-07 10:15:17	operator	Is she conscious?
2026-01-07 10:15:37	caller	Yes, i can talk to her.
2026-01-07 10:15:37	operator	Is she having trouble understanding you?
2026-01-07 10:16:56	caller	I think she understands me, but it is hard to understand her. She is slurring her words.
2026-01-07 10:16:56	operator	Is she experiencing any weakness or paralysis on one side of her body?
2026-01-07 10:18:03	caller	Yes, she can hardly move, especially her left side.
2026-01-07 10:18:03	operator	Is she experiencing any changes in her vision?
2026-01-07 10:18:54	caller	Wait a second, i'll ask her... Her vision seems to be fine.
2026-01-07 10:18:54	operator	Is she experiencing any sudden, severe headache?
2026-01-07 10:19:23	caller	She sais it's fine.
2026-01-07 10:19:23	operator	Is she experiencing any sudden dizziness or loss of balance, making her feel like she might fall?
2026-01-07 10:20:06	caller	No, it's just difficult for her to stand, since she can't move her left side.
2026-01-07 10:20:06	operator	Has she ever been diagnosed with diabetes?
2026-01-07 10:20:18	caller	No.
2026-01-07 10:20:18	operator	Is she experiencing any other symptoms or anything else that concerns you?
2026-01-07 10:21:33	caller	Besides her barely being able to move and speak... no.
2026-01-07 10:21:33	operator	The emergency call has been processed. Thank you.
