timestamp	speaker	message
2025-12-22 19:27:42	operator	Hello! You're speaking with the emergency call services.
2025-12-22 19:27:55	operator	With whom am I speaking, please?
2025-12-22 19:27:55	caller	Hi my name is Simone
2025-12-22 19:28:16	operator	Where exactly is the emergency location?
2025-12-22 19:28:16	caller	It is Siemensweg 10 in Messkirch
2025-12-22 19:28:54	operator	What has just happened acutely?
2025-12-22 19:28:54	caller	My husband has fallen down
2025-12-22 19:29:28	operator	Is the patient getting enough air now?
2025-12-22 19:29:28	caller	Yes, he can breath
2025-12-22 19:30:03	operator	Is the patient reacting normally now when spoken to?
2025-12-22 19:30:03	caller	Yes, he answers me
2025-12-22 19:30:35	operator	Is there now acute burning, pressure, tightness or pain in the chest area (possibly radiating to the neck, jaw, upper abdomen or arms)?
2025-12-22 19:30:35	caller	No, it isn't
2025-12-22 19:30:57	operator	Is there an acute circulatory problem?
2025-12-22 19:30:57	caller	No, he has no circulatory problems
2025-12-22 19:31:51	operator	Have there been acute occurrences of paralysis (arms, legs, drooping mouth corner)?
2025-12-22 19:31:51	caller	His ankle has swollen to twice its normal size
2025-12-22 19:32:54	operator	Have there been acute speech, language, or comprehension disturbances?
2025-12-22 19:32:54	caller	No, there weren't
2025-12-22 19:33:18	operator	Have there been acute visual disturbances (double vision, blindness, field of view loss)?
2025-12-22 19:33:18	caller	No, there weren't
2025-12-22 19:33:43	operator	Are there acute and first-time severe headaches?
2025-12-22 19:33:43	caller	There are no headaches
2025-12-22 19:34:19	operator	Is there one-sided disturbance with the patient's sensory system?
2025-12-22 19:34:19	caller	no, it's  not. His ankle is swollen
2025-12-22 19:35:16	operator	Is there acute dizziness with tendency to fall?
2025-12-22 19:35:16	caller	There is no acute dizziness. He is old
2025-12-22 19:35:59	operator	Is there a seizure?
2025-12-22 19:35:59	caller	There is no seizure
2025-12-22 19:36:44	operator	Is there a serious injury?
2025-12-22 19:36:44	caller	Yes his ankle is swollen and he can't walk
2025-12-22 19:38:09	operator	Can you describe the situation with more detail?
2025-12-22 19:38:09	caller	His ankle is swollen to twice as normal size. He can't stand on his foot. He is 86 years old. 
2025-12-22 19:38:31	operator	A Vehicle is on it's way to you. Please stand by.
2025-12-22 19:38:33	operator	The emergency call has been processed. Thank you.
