timestamp	speaker	message
2025-12-19 15:08:12	operator	Hello! You're speaking with the emergency call services.
2025-12-19 15:08:31	operator	With whom am I speaking, please?
2025-12-19 15:08:31	caller	Hi, this is Nico, I am calling from my mums place
2025-12-19 15:08:54	operator	Where exactly is the emergency location?
2025-12-19 15:08:54	caller	it is at Garching, Freisinger Landstrape 47
2025-12-19 15:10:00	operator	What has just happened acutely?
2025-12-19 15:10:00	caller	So I just came in cause I wanted to make a spontaneous visit dropping by. But she did not open the door, so I used my own key. She is already 90 years old, but was fit as of now. I found here lying on the floor.
2025-12-19 15:10:41	operator	Is the patient getting enough air now?
2025-12-19 15:10:41	caller	No, she is not breathing at all anymore. I touched her and she feels cold
2025-12-19 15:10:45	operator	A Vehicle is on it's way to you. Please stand by.
