timestamp	speaker	message
2025-12-19 14:29:54	operator	Hello! You're speaking with the emergency call services.
2025-12-19 14:30:03	operator	With whom am I speaking, please?
2025-12-19 14:30:03	caller	Hi, I am Nico 
2025-12-19 14:30:28	operator	Where exactly is the emergency location?
2025-12-19 14:30:28	caller	I am at home, in my bed, which is in Apt. 256 at Floriansmühlstraße 20
2025-12-19 14:30:57	operator	What has just happened acutely?
2025-12-19 14:30:57	caller	Breathing is hurting right now. I cannot get much air 
2025-12-19 14:31:16	operator	Can you describe the situation with more detail?
2025-12-19 14:31:16	caller	I have breathing issues. 
2025-12-19 14:31:20	operator	A Vehicle is on it's way to you. Please stand by.
