timestamp	speaker	message
2025-12-24 12:05:55	operator	Hello, thank you for calling the emergency services. What is your name?
2025-12-24 12:06:09	caller	My name is oldi granni
2025-12-24 12:06:09	operator	Thank you, Oldi. What is the location of the emergency?
2025-12-24 12:06:25	caller	its in our kitchen
2025-12-24 12:06:25	operator	Can you please provide the full address, including street, house number, city, and postal code?
2025-12-24 12:06:40	caller	at wernerweg 31
2025-12-24 12:06:40	operator	Thank you. Can you please also provide the city and postal code for Wernerweg 31?
2025-12-24 12:06:53	caller	Augsburg 089i81
2025-12-24 12:06:53	operator	Thank you. Can you please confirm the postal code for Augsburg? I show 089i81, but postal codes are usually all numbers.
2025-12-24 12:07:04	caller	91891
2025-12-24 12:07:04	operator	Thank you. What is the nature of the emergency?
2025-12-24 12:07:23	caller	my husband has fallen. he cannot walk
2025-12-24 12:07:23	operator	Is your husband conscious?
2025-12-24 12:07:56	caller	yes he is. his anlke has swollen greatly
2025-12-24 12:07:56	operator	Is there any heavy bleeding?
2025-12-24 12:08:18	caller	no there is not, but he is old he cannot walk and i cant bring him to a clinic
2025-12-24 12:08:18	operator	Is there anything else you can tell me about his condition or what happened?
2025-12-24 12:08:39	caller	he cannot walk
2025-12-24 12:08:40	operator	The emergency call has been processed. Thank you.
