timestamp	speaker	message
2025-12-24 11:43:04	operator	Hello, thank you for calling the emergency services. My name is [Agent Name]. What is your name?
2025-12-24 11:43:39	caller	My name is Tobi
2025-12-24 11:43:39	operator	Thank you, Tobi. What is the address of the emergency?
2025-12-24 11:43:48	caller	I am at home
2025-12-24 11:43:48	operator	Can you please provide the full address, including street name, house number, and city?
2025-12-24 11:44:08	caller	I AM at Ridleravenue, 40, munihc
2025-12-24 11:44:08	operator	Thank you. Can you tell me what happened?
2025-12-24 11:44:25	caller	I just witnessed a car accident form my window
2025-12-24 11:44:25	operator	Was anyone injured in the car accident?
2025-12-24 11:44:47	caller	I cant really see but one of the drivers is not moving
2025-12-24 11:44:48	operator	The emergency call has been processed. Thank you.
