timestamp	speaker	message
2025-12-24 12:12:29	operator	Hello! You're speaking with the emergency call services.
2025-12-24 12:12:37	operator	With whom am I speaking, please?
2025-12-24 12:12:37	caller	my name is man ager
2025-12-24 12:12:52	operator	Where exactly is the emergency location?
2025-12-24 12:12:52	caller	its at THE construction side
2025-12-24 12:13:14	operator	What has just happened acutely?
2025-12-24 12:13:14	caller	a heavy piece just dropped on the head of one of my workers
2025-12-24 12:13:30	operator	Can you describe the situation with more detail?
2025-12-24 12:13:30	caller	his head is bleeding heavily
2025-12-24 12:13:43	operator	A Vehicle is on it's way to you. Please stand by.
2025-12-24 12:13:44	operator	The emergency call has been processed. Thank you.
