timestamp	speaker	message
2025-12-19 13:58:08	operator	Hello, thank you for calling the emergency services. My name is [Agent Name]. What is your name?
2025-12-19 13:58:25	caller	Hey, I am Nico Michel
2025-12-19 13:58:26	operator	Thank you, Nico. What is the address of the emergency?
2025-12-19 13:58:45	caller	it is Floriansmühlstraße 20 in 80939 München Freimann
2025-12-19 13:58:46	operator	Thank you. Can you tell me what happened?
2025-12-19 13:59:30	caller	my wife is behaving strangely. I feel like she had something like a stroke some minutes ago.
2025-12-19 13:59:32	operator	Is she conscious?
2025-12-19 13:59:50	caller	Yes, she is. I am able to talk to her
2025-12-19 13:59:51	operator	Is she experiencing any paralysis or weakness on one side of her body?
2025-12-19 14:00:41	caller	les, the left side is crippled somehow. She cannot move very well and her talking is unclear
2025-12-19 14:00:42	operator	Is she having difficulty understanding what you are saying?
2025-12-19 14:01:25	caller	I am not sure. She is taking, but it is very hard to understand what she is saying.
2025-12-19 14:01:27	operator	Is she experiencing any visual disturbances?
2025-12-19 14:02:29	caller	Besides her strange moving around and her overall strange behavior, her left side face is not making any facial expressions
