timestamp	speaker	message
2025-12-14 17:37:30	operator	Hello! You're speaking with the emergency call services.
2025-12-14 17:38:10	operator	With whom am I speaking, please?
2025-12-14 17:38:10	caller	Hi my Name is Christian. We have here a accident at work.
2025-12-14 17:40:07	operator	Where exactly is the emergency location?
2025-12-14 17:40:07	caller	At the BMW Welt. Its at the street Am Olympiapark 1 in München. There is a construction site where we are working. 
2025-12-14 17:41:34	operator	What has just happened acutely?
2025-12-14 17:41:34	caller	One of my worker felt from a ladder. From a height of 1m. Now he feels pain in his right and left feet, lying on the ground and he is not able to move. What should I do?
2025-12-14 17:42:29	operator	Is the patient getting enough air now?
2025-12-14 17:42:29	caller	Yes. He is able to breath. He just has a lot of pains. Can we do something?
2025-12-14 17:43:23	operator	A Vehicle is on it's way to you. Please stand by.
