timestamp	speaker	message
2025-12-19 15:26:02	operator	Hello! You're speaking with the emergency call services.
2025-12-19 15:26:19	operator	With whom am I speaking, please?
2025-12-19 15:26:19	caller	Hi, this is Nico calling from the odeonsplatz metro station
2025-12-19 15:27:09	operator	Where exactly is the emergency location?
2025-12-19 15:27:09	caller	at the metro station of odeonsplatz. At the platform for lines U3 and U6. near the emergency pole. that's where I am calling from.
2025-12-19 15:27:55	operator	What has just happened acutely?
2025-12-19 15:27:55	caller	There is a man lying in the middle of the platform in the station. His is lying on his back, but his face looks blue-ish and to be honest very weird and strange.
2025-12-19 15:28:58	operator	Can you describe the situation with more detail?
2025-12-19 15:28:58	caller	that's all I know. He didn't seem to be moving, I didn't want to touch hin. The most striking thing is his blue face color.like of you would hit your leg and get a hematoma
2025-12-19 15:29:06	operator	A Vehicle is on it's way to you. Please stand by.
