timestamp	speaker	message
2025-12-24 11:56:15	operator	Hello! You're speaking with the emergency call services.
2025-12-24 11:56:27	operator	With whom am I speaking, please?
2025-12-24 11:56:27	caller	Hello my name is Kan Ada
2025-12-24 11:56:47	operator	Where exactly is the emergency location?
2025-12-24 11:56:47	caller	its in Toronto, streetname 31
2025-12-24 11:56:59	operator	What has just happened acutely?
2025-12-24 11:56:59	caller	my son is coughing really bad
2025-12-24 11:57:30	operator	Is the patient getting enough air now?
2025-12-24 11:57:30	caller	he has problems breathing, and when breathing with whistling sounds
2025-12-24 11:57:35	operator	A Vehicle is on it's way to you. Please stand by.
2025-12-24 11:57:36	operator	The emergency call has been processed. Thank you.
