timestamp	speaker	message
2025-12-19 14:35:14	operator	Hello! You're speaking with the emergency call services.
2025-12-19 14:35:30	operator	With whom am I speaking, please?
2025-12-19 14:35:30	caller	I am nico. I have cut myself!
2025-12-19 14:35:46	operator	Where exactly is the emergency location?
2025-12-19 14:35:46	caller	at home in the kitchen. I am in panic, 
2025-12-19 14:36:33	operator	What has just happened acutely?
2025-12-19 14:36:33	caller	I was cutting onions, but accidentally, I have hit my finger instead of the onion and now it is blooding. But
2025-12-19 14:38:12	operator	Can you describe the situation with more detail?
2025-12-19 14:38:12	caller	my left pointing finger, at the middle about the finger, there is a 0.5cm deep cut. But I am in panic now. I used some kitchen towel to stop bleeding, but it is going on.
2025-12-19 14:38:20	operator	A Vehicle is on it's way to you. Please stand by.
